Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,sigma_p,p_minus_alpha,flip_probability,significance
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0003269002185508,-0.044610035934348057,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,2.530289590203291e-05,-0.04961815436391625,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,1.5859698710110337e-06,-0.049976703314532994,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,9.396921934489513e-08,-0.049998605723123285,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0168558136219429,0.5692685675117714,0.0,non-significant
0.3,avg_shortestPathLength,0.0241110187938018,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0115526047594961,0.27212564510024434,3.565398260130405e-266,non-significant
0.3,avg_shortestPathLength,0.0241110187938018,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0026895432372733,0.0009470687376932352,0.3678705083916581,non-significant
0.3,avg_shortestPathLength,0.0241110187938018,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0002811856214206,-0.04579829681293176,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,1.6119406578024075e-05,-0.04979080975363597,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,6.189523118602243e-07,-0.04999256678775277,0.0,significant
