Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,2.0,500,0.5,0.046040682769031456,-0.003959317230968547,0.0334959924714658,two_sample_t_p_value,500.0,,0.0036295473899092,0.1384871794782193,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.4,0.0464015209831491,-0.0035984790168509043,0.029665759311191,ancova_p_value,,300.0,0.0032218708020417,0.1329996001810193,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.4,0.0464015209831491,-0.0035984790168509043,0.029665759311191,two_sample_t_p_value,300.0,,0.0032218708020412,0.13299960018098345,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.1,0.046040682769031456,-0.003959317230968547,0.0315639250336682,ancova_p_value,,500.0,0.003420193081869,0.12491558598531483,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.1,0.046040682769031456,-0.003959317230968547,0.0315639250336682,two_sample_t_p_value,500.0,,0.0034201930818689,0.12491558598530861,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.2,0.046040682769031456,-0.003959317230968547,0.0314671525049664,ancova_p_value,,500.0,0.0034097070370306,0.12421809542317808,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.2,0.046040682769031456,-0.003959317230968547,0.0314671525049664,two_sample_t_p_value,500.0,,0.0034097070370304,0.12421809542316486,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.5,0.04577034649325166,-0.0042296535067483446,0.0334959924714658,two_sample_t_p_value,1000.0,,0.003623273162896,0.12310967806446849,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.5,0.04577034649325166,-0.0042296535067483446,0.0334959924714658,ancova_p_value,,1000.0,0.0036232731628949,0.12310967806439965,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.4,0.046040682769031456,-0.003959317230968547,0.029665759311191,ancova_p_value,,500.0,0.0032145122843975,0.11094618452494764,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.4,0.046040682769031456,-0.003959317230968547,0.029665759311191,two_sample_t_p_value,500.0,,0.0032145122843974,0.1109461845249401,significant,non-significant,significant -> non-significant,false-positive risk
